Student,Proficiency,Ground Truth,IsCorrect,Transcript,Confidence
1850_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1851_HI_S1_S_0,S,Where is your house?,True,,
1853_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1861_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1871_HI_S1_S_0,S,Where is your house?,True,where is your house,0.78627861
1888_HI_S1_S_0,S,Where is your house?,True,where is you your house,0.78733253
1911_HI_S1_S_0,S,Where is your house?,True,where is your house Tumhara Ghar kahan hai,0.92995495
1920_HI_S1_S_0,S,Where is your house?,True,,
1926_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1935_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1938_HI_S1_S_0,S,Where is your house?,True,,
1956_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1958_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1960_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1971_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1980_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1991_HI_S1_S_0,S,Where is your house?,True,,
1994_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2014_HI_S1_S_0,S,Where is your house?,True,where is your house aapka Ghar kahan hai,0.86482781
2018_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2052_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2070_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2075_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2077_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2112_HI_S1_S_0,S,Where is your house?,True,hair is your,0.92995483
2120_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2129_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2137_HI_S1_S_0,S,Where is your house?,True,is your,0.92995483
2146_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2164_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2180_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2188_HI_S1_S_0,S,Where is your house?,True,what is your house Tumhara Ghar kahan hai,0.92995495
2195_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2201_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2215_HI_S1_S_0,S,Where is your house?,True,,
2238_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2239_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2255_HI_S1_S_0,S,Where is your house?,True,house,0.83889878
2261_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2277_HI_S1_S_0,S,Where is your house?,True,power eating your,0.67432785
2297_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2313_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2335_HI_S1_S_0,S,Where is your house?,True,where is my house,0.92995489
2421_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2439_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2443_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2485_HI_S1_S_0,S,Where is your house?,True,where is your house where is your house,0.92995495
2492_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2511_HI_S1_S_0,S,Where is your house?,True,where is a house,0.86595869
2519_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2547_HI_S1_S_0,S,Where is your house?,True,where is where is your house,0.92995495
2557_HI_S1_S_0,S,Where is your house?,True,,
2572_HI_S1_S_0,S,Where is your house?,True,where is the your horse horse,0.92995495
2580_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2589_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2590_HI_S1_S_0,S,Where is your house?,True,where is your house,0.85536671
2595_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2632_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2636_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2650_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2653_HI_S1_S_0,S,Where is your house?,True,,
2660_HI_S1_S_0,S,Where is your house?,True,,
2708_HI_S1_S_0,S,Where is your house?,True,,
2728_HI_S1_S_0,S,Where is your house?,True,where is your house,0.86495763
2730_HI_S1_S_0,S,Where is your house?,True,,
2752_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2755_HI_S1_S_0,S,Where is your house?,True,,
2756_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2758_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2778_HI_S1_S_0,S,Where is your house?,True,,
2790_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2800_HI_S1_S_0,S,Where is your house?,True,what is your house,0.92995489
2819_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2839_HI_S1_S_0,S,Where is your house?,True,,
2847_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2876_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2879_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2882_HI_S1_S_0,S,Where is your house?,True,,
2900_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2913_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2919_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2937_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2946_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2966_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2970_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
2978_HI_S1_S_0,S,Where is your house?,True,,
2982_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3009_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3010_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3014_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3016_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3023_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3066_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3077_HI_S1_S_0,S,Where is your house?,True,,
3083_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3084_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3088_HI_S1_S_0,S,Where is your house?,True,Tumhara Ghar kahan hai,0.92995489
3092_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3096_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3121_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92853832
3132_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3135_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3137_HI_S1_S_0,S,Where is your house?,True,,
3142_HI_S1_S_0,S,Where is your house?,True,where where is your house,0.82378751
3146_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3198_HI_S1_S_0,S,Where is your house?,True,where is your horse,0.92847717
3231_HI_S1_S_0,S,Where is your house?,True,Nahin Aata,0.92995483
3240_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3243_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3247_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3249_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3251_HI_S1_S_0,S,Where is your house?,True,where is your horse,0.92995489
3265_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3276_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3279_HI_S1_S_0,S,Where is your house?,True,where is your house Tumhara Ghar kahan hai,0.92995495
3280_HI_S1_S_0,S,Where is your house?,True,where is your house Tumhara Ghar kahan hai,0.92652446
3286_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3310_HI_S1_S_0,S,Where is your house?,True,,
3319_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3338_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3352_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3374_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3397_HI_S1_S_0,S,Where is your house?,True,where is where is your house,0.92995495
3414_HI_S1_S_0,S,Where is your house?,True,where is your horse house,0.92995489
3430_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3456_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3474_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3480_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3483_HI_S1_S_0,S,Where is your house?,True,very easy your house,0.81520665
3539_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3548_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3554_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3582_HI_S1_S_0,S,Where is your house?,True,there is no house,0.76293594
3608_HI_S1_S_0,S,Where is your house?,True,,
3616_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3665_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3667_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3678_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3701_HI_S1_S_0,S,Where is your house?,True,where is your house where is your house,0.92995495
3718_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3731_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3733_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3752_HI_S1_S_0,S,Where is your house?,True,there is a house,0.77589828
3766_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3774_HI_S1_S_0,S,Where is your house?,True,where is your house,0.91566879
3784_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3811_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3812_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3818_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3841_HI_S1_S_0,S,Where is your house?,True,hair is your,0.84951419
3847_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3859_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3869_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3876_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3879_HI_S1_S_0,S,Where is your house?,True,where is your house,0.8725217
3901_HI_S1_S_0,S,Where is your house?,True,where is your house,0.8557142
3902_HI_S1_S_0,S,Where is your house?,True,,
3907_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3933_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3963_HI_S1_S_0,S,Where is your house?,True,where is your house,0.86402738
3965_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3971_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
3972_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4002_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4006_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4026_HI_S1_S_0,S,Where is your house?,True,your house,0.80938739
4042_HI_S1_S_0,S,Where is your house?,True,where is your house,0.90654886
4048_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4054_HI_S1_S_0,S,Where is your house?,True,,
4079_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4100_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4104_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4113_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4134_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4143_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4155_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4200_HI_S1_S_0,S,Where is your house?,True,what is this your boss,0.89028054
4224_HI_S1_S_0,S,Where is your house?,True,what is your house where is your house,0.92995495
4239_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4260_HI_S1_S_0,S,Where is your house?,True,,
4268_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4298_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4319_HI_S1_S_0,S,Where is your house?,True,what is you use,0.76474869
4325_HI_S1_S_0,S,Where is your house?,True,,
4336_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4341_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4348_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4349_HI_S1_S_0,S,Where is your house?,True,,
4363_HI_S1_S_0,S,Where is your house?,True,Bihar School,0.60993004
4399_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4401_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4447_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4451_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4479_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4485_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4495_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92228365
4506_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4508_HI_S1_S_0,S,Where is your house?,True,,
4509_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4524_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4525_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4532_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4563_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4589_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4599_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4629_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4636_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4641_HI_S1_S_0,S,Where is your house?,True,,
4649_HI_S1_S_0,S,Where is your house?,True,where is your house Tumhara Ghar kahan hai,0.92995495
4715_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4718_HI_S1_S_0,S,Where is your house?,True,where is your house,0.82692325
4764_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4773_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4778_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4779_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4782_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4783_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4788_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4790_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4793_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4796_HI_S1_S_0,S,Where is your house?,True,hair is you your,0.67806166
4797_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4801_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4814_HI_S1_S_0,S,Where is your house?,True,where where is your house,0.92995489
4824_HI_S1_S_0,S,Where is your house?,True,,
4849_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4888_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4890_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4893_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4897_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4898_HI_S1_S_0,S,Where is your house?,True,where is your house,0.84244901
4906_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4938_HI_S1_S_0,S,Where is your house?,True,where is your house Tumhara Ghar Tumhara Ghar vahan Hai Tumhara Ghar kahan hai,0.82686871
4939_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4958_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4973_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4976_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4979_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
4985_HI_S1_S_0,S,Where is your house?,True,Bihar is your house,0.87279749
4986_HI_S1_S_0,S,Where is your house?,True,gallery jio house,0.54871202
5026_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
5059_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
5076_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
5080_HI_S1_S_0,S,Where is your house?,True,what is your voice,0.88973284
5087_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
5103_HI_S1_S_0,S,Where is your house?,True,what is your house,0.82206619
5160_HI_S1_S_0,S,Where is your house?,True,here is your,0.83433455
5196_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
5201_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
5206_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
5228_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
5245_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
5254_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
5273_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1397_HI_S1_S_0,S,Where is your house?,False,where is your house,0.92995489
1478_HI_S1_S_0,S,Where is your house?,False,,
1508_HI_S1_S_0,S,Where is your house?,False,,
1518_HI_S1_S_0,S,Where is your house?,False,where is your,0.8350119
1524_HI_S1_S_0,S,Where is your house?,False,,
1625_HI_S1_S_0,S,Where is your house?,False,,
1639_HI_S1_S_0,S,Where is your house?,False,,
1641_HI_S1_S_0,S,Where is your house?,False,marriage,0.92174244
1685_HI_S1_S_0,S,Where is your house?,False,,
1713_HI_S1_S_0,S,Where is your house?,False,,
1727_HI_S1_S_0,S,Where is your house?,False,,
1729_HI_S1_S_0,S,Where is your house?,False,,
1864_HI_S1_S_0,S,Where is your house?,False,is,0.72907263
1870_HI_S1_S_0,S,Where is your house?,False,,
1892_HI_S1_S_0,S,Where is your house?,False,w,0.79204535
1992_HI_S1_S_0,S,Where is your house?,False,,
2010_HI_S1_S_0,S,Where is your house?,False,,
2104_HI_S1_S_0,S,Where is your house?,False,where is your house,0.92995489
2142_HI_S1_S_0,S,Where is your house?,False,,
2162_HI_S1_S_0,S,Where is your house?,False,where is your house,0.92995489
2274_HI_S1_S_0,S,Where is your house?,False,,
2306_HI_S1_S_0,S,Where is your house?,False,bike,0.77596498
2330_HI_S1_S_0,S,Where is your house?,False,baby is,0.66895676
2344_HI_S1_S_0,S,Where is your house?,False,,
2352_HI_S1_S_0,S,Where is your house?,False,,
2366_HI_S1_S_0,S,Where is your house?,False,,
2369_HI_S1_S_0,S,Where is your house?,False,there is a warehouse,0.70535469
2427_HI_S1_S_0,S,Where is your house?,False,,
2502_HI_S1_S_0,S,Where is your house?,False,,
2561_HI_S1_S_0,S,Where is your house?,False,,
2571_HI_S1_S_0,S,Where is your house?,False,where is your house,0.92995489
2615_HI_S1_S_0,S,Where is your house?,False,,
2621_HI_S1_S_0,S,Where is your house?,False,,
2644_HI_S1_S_0,S,Where is your house?,False,these are yours,0.68600971
2684_HI_S1_S_0,S,Where is your house?,False,please,0.81482732
2717_HI_S1_S_0,S,Where is your house?,False,,
2770_HI_S1_S_0,S,Where is your house?,False,where is your dad,0.74980509
2802_HI_S1_S_0,S,Where is your house?,False,w h e r e i s u v u b o u r h o u s e,0.88961923
2805_HI_S1_S_0,S,Where is your house?,False,where is your house,0.92995489
2824_HI_S1_S_0,S,Where is your house?,False,,
2827_HI_S1_S_0,S,Where is your house?,False,,
2852_HI_S1_S_0,S,Where is your house?,False,,
2917_HI_S1_S_0,S,Where is your house?,False,batao,0.83755589
2929_HI_S1_S_0,S,Where is your house?,False,there this weather,0.64804816
2955_HI_S1_S_0,S,Where is your house?,False,,
2962_HI_S1_S_0,S,Where is your house?,False,,
2975_HI_S1_S_0,S,Where is your house?,False,,
3048_HI_S1_S_0,S,Where is your house?,False,,
3063_HI_S1_S_0,S,Where is your house?,False,,
3072_HI_S1_S_0,S,Where is your house?,False,there is where is,0.92995489
3087_HI_S1_S_0,S,Where is your house?,False,,
3093_HI_S1_S_0,S,Where is your house?,False,,
3140_HI_S1_S_0,S,Where is your house?,False,where is our house,0.90711576
3190_HI_S1_S_0,S,Where is your house?,False,horse house,0.87005496
3215_HI_S1_S_0,S,Where is your house?,False,Nahin Nahin,0.92995483
3225_HI_S1_S_0,S,Where is your house?,False,,
3261_HI_S1_S_0,S,Where is your house?,False,where is your house,0.92995489
3263_HI_S1_S_0,S,Where is your house?,False,,
3266_HI_S1_S_0,S,Where is your house?,False,,
3324_HI_S1_S_0,S,Where is your house?,False,easy you your house,0.78839874
3388_HI_S1_S_0,S,Where is your house?,False,,
3432_HI_S1_S_0,S,Where is your house?,False,,
3450_HI_S1_S_0,S,Where is your house?,False,,
3531_HI_S1_S_0,S,Where is your house?,False,Hari Om,0.51902515
3541_HI_S1_S_0,S,Where is your house?,False,w h e r e,0.82251406
3642_HI_S1_S_0,S,Where is your house?,False,in is your house,0.82111341
3657_HI_S1_S_0,S,Where is your house?,False,where is your house,0.92779142
3729_HI_S1_S_0,S,Where is your house?,False,,
3750_HI_S1_S_0,S,Where is your house?,False,,
3753_HI_S1_S_0,S,Where is your house?,False,,
3771_HI_S1_S_0,S,Where is your house?,False,there is your house,0.92995489
3780_HI_S1_S_0,S,Where is your house?,False,,
3833_HI_S1_S_0,S,Where is your house?,False,w h e r e y y y o u r,0.65603739
3840_HI_S1_S_0,S,Where is your house?,False,w h e r e i s y o u r s o s,0.88630927
3848_HI_S1_S_0,S,Where is your house?,False,,
3875_HI_S1_S_0,S,Where is your house?,False,,
3926_HI_S1_S_0,S,Where is your house?,False,there is yoga,0.83788037
3949_HI_S1_S_0,S,Where is your house?,False,is your boss,0.63714683
3979_HI_S1_S_0,S,Where is your house?,False,,
4038_HI_S1_S_0,S,Where is your house?,False,,
4081_HI_S1_S_0,S,Where is your house?,False,where is,0.75154752
4189_HI_S1_S_0,S,Where is your house?,False,,
4223_HI_S1_S_0,S,Where is your house?,False,where is your home,0.89379483
4225_HI_S1_S_0,S,Where is your house?,False,,
4242_HI_S1_S_0,S,Where is your house?,False,,
4243_HI_S1_S_0,S,Where is your house?,False,w h e r e i s y o u r h o u s e,0.87978822
4290_HI_S1_S_0,S,Where is your house?,False,,
4320_HI_S1_S_0,S,Where is your house?,False,where is your home,0.92689669
4355_HI_S1_S_0,S,Where is your house?,False,,
4386_HI_S1_S_0,S,Where is your house?,False,weather is your words,0.81447822
4408_HI_S1_S_0,S,Where is your house?,False,,
4413_HI_S1_S_0,S,Where is your house?,False,,
4416_HI_S1_S_0,S,Where is your house?,False,air is your house,0.79782563
4456_HI_S1_S_0,S,Where is your house?,False,is you,0.8135044
4471_HI_S1_S_0,S,Where is your house?,False,,
4503_HI_S1_S_0,S,Where is your house?,False,hair is your,0.88158947
4520_HI_S1_S_0,S,Where is your house?,False,where is new house,0.88992041
4521_HI_S1_S_0,S,Where is your house?,False,where is your house,0.92995489
4606_HI_S1_S_0,S,Where is your house?,False,,
4654_HI_S1_S_0,S,Where is your house?,False,,
4667_HI_S1_S_0,S,Where is your house?,False,we your house,0.82989997
4678_HI_S1_S_0,S,Where is your house?,False,,
4721_HI_S1_S_0,S,Where is your house?,False,where is your homes,0.92781866
4758_HI_S1_S_0,S,Where is your house?,False,kya your house,0.82144618
4769_HI_S1_S_0,S,Where is your house?,False,,
4815_HI_S1_S_0,S,Where is your house?,False,where is your house,0.92995489
4856_HI_S1_S_0,S,Where is your house?,False,where is your home,0.92995489
4865_HI_S1_S_0,S,Where is your house?,False,what is the name of,0.61991853
4868_HI_S1_S_0,S,Where is your house?,False,w h e r a i s y o u r h o u s e,0.86809379
4870_HI_S1_S_0,S,Where is your house?,False,there is your house,0.88134259
4951_HI_S1_S_0,S,Where is your house?,False,where is at,0.71315432
4959_HI_S1_S_0,S,Where is your house?,False,easy your horse house,0.78707343
5009_HI_S1_S_0,S,Where is your house?,False,Hindi film where you are,0.84540236
5027_HI_S1_S_0,S,Where is your house?,False,where is my house,0.71413994
5052_HI_S1_S_0,S,Where is your house?,False,where is,0.83041388
5120_HI_S1_S_0,S,Where is your house?,False,there is where you house,0.88070238
5172_HI_S1_S_0,S,Where is your house?,False,what what,0.92995483
5179_HI_S1_S_0,S,Where is your house?,False,house is over,0.9032529
5185_HI_S1_S_0,S,Where is your house?,False,where is your house,0.92995489
