Student,Proficiency,Ground Truth,IsCorrect,Transcript,Confidence,Distance
1704_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1721_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1733_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1775_HI_S1_S_0,S,Where is your house?,1.0,where are you where is your horse,0.86548293,0.8164965809277261
1778_HI_S1_S_0,S,Where is your house?,1.0,where is your home,0.92995489,0.8660254037844388
1779_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1826_HI_S1_S_0,S,Where is your house?,1.0,,,0.0
1839_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1844_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92110938,1.0
1849_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1850_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1851_HI_S1_S_0,S,Where is your house?,1.0,,,0.0
1853_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1861_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1871_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.78627861,1.0
1888_HI_S1_S_0,S,Where is your house?,1.0,where is you your house,0.78733253,1.0
1911_HI_S1_S_0,S,Where is your house?,1.0,where is your house Tumhara Ghar kahan hai,0.92995495,1.0
1920_HI_S1_S_0,S,Where is your house?,1.0,,,0.0
1926_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1935_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1938_HI_S1_S_0,S,Where is your house?,1.0,,,0.0
1956_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1958_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1960_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1971_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1980_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1991_HI_S1_S_0,S,Where is your house?,1.0,,,0.0
1994_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2014_HI_S1_S_0,S,Where is your house?,1.0,where is your house aapka Ghar kahan hai,0.86482781,1.0
2018_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2052_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2070_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2075_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2077_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2112_HI_S1_S_0,S,Where is your house?,1.0,hair is your,0.92995483,0.7071067811865476
2120_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2129_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2137_HI_S1_S_0,S,Where is your house?,1.0,is your,0.92995483,0.7071067811865476
2146_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2164_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2180_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2188_HI_S1_S_0,S,Where is your house?,1.0,what is your house Tumhara Ghar kahan hai,0.92995495,0.8660254037844388
2195_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2201_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2215_HI_S1_S_0,S,Where is your house?,1.0,,,0.0
2238_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2239_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2255_HI_S1_S_0,S,Where is your house?,1.0,house,0.83889878,0.5
2261_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2277_HI_S1_S_0,S,Where is your house?,1.0,power eating your,0.67432785,0.5
2297_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2313_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2335_HI_S1_S_0,S,Where is your house?,1.0,where is my house,0.92995489,0.8660254037844388
2421_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2439_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2443_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2485_HI_S1_S_0,S,Where is your house?,1.0,where is your house where is your house,0.92995495,1.0
2492_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2511_HI_S1_S_0,S,Where is your house?,1.0,where is a house,0.86595869,0.8660254037844388
2519_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2547_HI_S1_S_0,S,Where is your house?,1.0,where is where is your house,0.92995495,0.9486832980505138
2557_HI_S1_S_0,S,Where is your house?,1.0,,,0.0
2572_HI_S1_S_0,S,Where is your house?,1.0,where is the your horse horse,0.92995495,0.8660254037844388
2580_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2589_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2590_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.85536671,1.0
2595_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2632_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2636_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2650_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2653_HI_S1_S_0,S,Where is your house?,1.0,,,0.0
2660_HI_S1_S_0,S,Where is your house?,1.0,,,0.0
2708_HI_S1_S_0,S,Where is your house?,1.0,,,0.0
2728_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.86495763,1.0
2730_HI_S1_S_0,S,Where is your house?,1.0,,,0.0
2752_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2755_HI_S1_S_0,S,Where is your house?,1.0,,,0.0
2756_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2758_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2778_HI_S1_S_0,S,Where is your house?,1.0,,,0.0
2790_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2800_HI_S1_S_0,S,Where is your house?,1.0,what is your house,0.92995489,0.8660254037844388
2819_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2839_HI_S1_S_0,S,Where is your house?,1.0,,,0.0
2847_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2876_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2879_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2882_HI_S1_S_0,S,Where is your house?,1.0,,,0.0
2900_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2913_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2919_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2937_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2946_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2966_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2970_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
2978_HI_S1_S_0,S,Where is your house?,1.0,,,0.0
2982_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3009_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3010_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3014_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3016_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3023_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3066_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3077_HI_S1_S_0,S,Where is your house?,1.0,,,0.0
3083_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3084_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3088_HI_S1_S_0,S,Where is your house?,1.0,Tumhara Ghar kahan hai,0.92995489,0.0
3092_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3096_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3121_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92853832,1.0
3132_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3135_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3137_HI_S1_S_0,S,Where is your house?,1.0,,,0.0
3142_HI_S1_S_0,S,Where is your house?,1.0,where where is your house,0.82378751,0.9449111825230683
3146_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3198_HI_S1_S_0,S,Where is your house?,1.0,where is your horse,0.92847717,0.8660254037844388
3231_HI_S1_S_0,S,Where is your house?,1.0,Nahin Aata,0.92995483,0.0
3240_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3243_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3247_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3249_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3251_HI_S1_S_0,S,Where is your house?,1.0,where is your horse,0.92995489,0.8660254037844388
3265_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3276_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3279_HI_S1_S_0,S,Where is your house?,1.0,where is your house Tumhara Ghar kahan hai,0.92995495,1.0
3280_HI_S1_S_0,S,Where is your house?,1.0,where is your house Tumhara Ghar kahan hai,0.92652446,1.0
3286_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3310_HI_S1_S_0,S,Where is your house?,1.0,,,0.0
3319_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3338_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3352_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3374_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3397_HI_S1_S_0,S,Where is your house?,1.0,where is where is your house,0.92995495,0.9486832980505138
3414_HI_S1_S_0,S,Where is your house?,1.0,where is your horse house,0.92995489,1.0
3430_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3456_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3474_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3480_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3483_HI_S1_S_0,S,Where is your house?,1.0,very easy your house,0.81520665,0.7071067811865476
3539_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3548_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3554_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3582_HI_S1_S_0,S,Where is your house?,1.0,there is no house,0.76293594,0.7071067811865476
3608_HI_S1_S_0,S,Where is your house?,1.0,,,0.0
3616_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3665_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3667_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3678_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3701_HI_S1_S_0,S,Where is your house?,1.0,where is your house where is your house,0.92995495,1.0
3718_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3731_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3733_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3752_HI_S1_S_0,S,Where is your house?,1.0,there is a house,0.77589828,0.7071067811865476
3766_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3774_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.91566879,1.0
3784_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3811_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3812_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3818_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3841_HI_S1_S_0,S,Where is your house?,1.0,hair is your,0.84951419,0.7071067811865476
3847_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3859_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3869_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3876_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3879_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.8725216999999998,1.0
3901_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.8557142,1.0
3902_HI_S1_S_0,S,Where is your house?,1.0,,,0.0
3907_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3933_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3963_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.86402738,1.0
3965_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3971_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
3972_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4002_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4006_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4026_HI_S1_S_0,S,Where is your house?,1.0,your house,0.80938739,0.7071067811865476
4042_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.90654886,1.0
4048_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4054_HI_S1_S_0,S,Where is your house?,1.0,,,0.0
4079_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4100_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4104_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4113_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4134_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4143_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4155_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4200_HI_S1_S_0,S,Where is your house?,1.0,what is this your boss,0.89028054,0.7071067811865476
4224_HI_S1_S_0,S,Where is your house?,1.0,what is your house where is your house,0.92995495,0.9707253433941511
4239_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4260_HI_S1_S_0,S,Where is your house?,1.0,,,0.0
4268_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4298_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4319_HI_S1_S_0,S,Where is your house?,1.0,what is you use,0.76474869,0.5
4325_HI_S1_S_0,S,Where is your house?,1.0,,,0.0
4336_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4341_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4348_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4349_HI_S1_S_0,S,Where is your house?,1.0,,,0.0
4363_HI_S1_S_0,S,Where is your house?,1.0,Bihar School,0.60993004,0.0
4399_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4401_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4447_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4451_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4479_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4485_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4495_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92228365,1.0
4506_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4508_HI_S1_S_0,S,Where is your house?,1.0,,,0.0
4509_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4524_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4525_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4532_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4563_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4589_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4599_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4629_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4636_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4641_HI_S1_S_0,S,Where is your house?,1.0,,,0.0
4649_HI_S1_S_0,S,Where is your house?,1.0,where is your house Tumhara Ghar kahan hai,0.92995495,1.0
4715_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4718_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.82692325,1.0
4764_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4773_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4778_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4779_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4782_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4783_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4788_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4790_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4793_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4796_HI_S1_S_0,S,Where is your house?,1.0,hair is you your,0.67806166,0.7071067811865476
4797_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4801_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4814_HI_S1_S_0,S,Where is your house?,1.0,where where is your house,0.92995489,0.9449111825230683
4824_HI_S1_S_0,S,Where is your house?,1.0,,,0.0
4849_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4888_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4890_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4893_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4897_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4898_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.84244901,1.0
4906_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4938_HI_S1_S_0,S,Where is your house?,1.0,where is your house Tumhara Ghar Tumhara Ghar vahan Hai Tumhara Ghar kahan hai,0.82686871,1.0
4939_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4958_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4973_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4976_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4979_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
4985_HI_S1_S_0,S,Where is your house?,1.0,Bihar is your house,0.87279749,0.8660254037844388
4986_HI_S1_S_0,S,Where is your house?,1.0,gallery jio house,0.54871202,0.5
5026_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
5059_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
5076_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
5080_HI_S1_S_0,S,Where is your house?,1.0,what is your voice,0.88973284,0.7071067811865476
5087_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
5103_HI_S1_S_0,S,Where is your house?,1.0,what is your house,0.82206619,0.8660254037844388
5160_HI_S1_S_0,S,Where is your house?,1.0,here is your,0.83433455,0.7071067811865476
5196_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
5201_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
5206_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
5228_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
5245_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
5254_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
5273_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1397_HI_S1_S_0,S,Where is your house?,0.0,where is your house,0.92995489,1.0
1478_HI_S1_S_0,S,Where is your house?,0.0,,,0.0
1508_HI_S1_S_0,S,Where is your house?,0.0,,,0.0
1518_HI_S1_S_0,S,Where is your house?,0.0,where is your,0.8350119,0.8660254037844388
1524_HI_S1_S_0,S,Where is your house?,0.0,,,0.0
1625_HI_S1_S_0,S,Where is your house?,0.0,,,0.0
1639_HI_S1_S_0,S,Where is your house?,0.0,,,0.0
1641_HI_S1_S_0,S,Where is your house?,0.0,marriage,0.92174244,0.0
1685_HI_S1_S_0,S,Where is your house?,0.0,,,0.0
1713_HI_S1_S_0,S,Where is your house?,0.0,,,0.0
1727_HI_S1_S_0,S,Where is your house?,0.0,,,0.0
1729_HI_S1_S_0,S,Where is your house?,0.0,,,0.0
1864_HI_S1_S_0,S,Where is your house?,0.0,is,0.72907263,0.5
1870_HI_S1_S_0,S,Where is your house?,0.0,,,0.0
1892_HI_S1_S_0,S,Where is your house?,0.0,w,0.79204535,0.0
1992_HI_S1_S_0,S,Where is your house?,0.0,,,0.0
2010_HI_S1_S_0,S,Where is your house?,0.0,,,0.0
2104_HI_S1_S_0,S,Where is your house?,0.0,where is your house,0.92995489,1.0
2142_HI_S1_S_0,S,Where is your house?,0.0,,,0.0
2162_HI_S1_S_0,S,Where is your house?,0.0,where is your house,0.92995489,1.0
2274_HI_S1_S_0,S,Where is your house?,0.0,,,0.0
2306_HI_S1_S_0,S,Where is your house?,0.0,bike,0.77596498,0.0
2330_HI_S1_S_0,S,Where is your house?,0.0,baby is,0.66895676,0.5
2344_HI_S1_S_0,S,Where is your house?,0.0,,,0.0
2352_HI_S1_S_0,S,Where is your house?,0.0,,,0.0
2366_HI_S1_S_0,S,Where is your house?,0.0,,,0.0
2369_HI_S1_S_0,S,Where is your house?,0.0,there is a warehouse,0.70535469,0.5
2427_HI_S1_S_0,S,Where is your house?,0.0,,,0.0
2502_HI_S1_S_0,S,Where is your house?,0.0,,,0.0
2561_HI_S1_S_0,S,Where is your house?,0.0,,,0.0
2571_HI_S1_S_0,S,Where is your house?,0.0,where is your house,0.92995489,1.0
2615_HI_S1_S_0,S,Where is your house?,0.0,,,0.0
2621_HI_S1_S_0,S,Where is your house?,0.0,,,0.0
2644_HI_S1_S_0,S,Where is your house?,0.0,these are yours,0.68600971,0.0
2684_HI_S1_S_0,S,Where is your house?,0.0,please,0.81482732,0.0
2717_HI_S1_S_0,S,Where is your house?,0.0,,,0.0
2770_HI_S1_S_0,S,Where is your house?,0.0,where is your dad,0.74980509,0.8660254037844388
2802_HI_S1_S_0,S,Where is your house?,0.0,w h e r e i s u v u b o u r h o u s e,0.88961923,0.0
2805_HI_S1_S_0,S,Where is your house?,0.0,where is your house,0.92995489,1.0
2824_HI_S1_S_0,S,Where is your house?,0.0,,,0.0
2827_HI_S1_S_0,S,Where is your house?,0.0,,,0.0
2852_HI_S1_S_0,S,Where is your house?,0.0,,,0.0
2917_HI_S1_S_0,S,Where is your house?,0.0,batao,0.83755589,0.0
2929_HI_S1_S_0,S,Where is your house?,0.0,there this weather,0.64804816,0.0
2955_HI_S1_S_0,S,Where is your house?,0.0,,,0.0
2962_HI_S1_S_0,S,Where is your house?,0.0,,,0.0
2975_HI_S1_S_0,S,Where is your house?,0.0,,,0.0
3048_HI_S1_S_0,S,Where is your house?,0.0,,,0.0
3063_HI_S1_S_0,S,Where is your house?,0.0,,,0.0
